system:index,fn,fp,tn,tp,year,.geo
0,165,25,79296,176,1985,
1,174,28,82836,178,1986,
2,170,32,83752,187,1987,
3,172,32,84296,189,1988,
4,174,31,84294,198,1989,
5,172,28,84279,207,1990,
6,176,26,84285,212,1991,
7,180,27,84281,212,1992,
8,182,25,84300,220,1993,
9,175,25,84282,237,1994,
10,171,24,84278,248,1995,
11,171,25,84285,253,1996,
12,180,25,84288,257,1997,
13,182,23,84263,264,1998,
14,183,27,84330,270,1999,
15,181,26,84407,279,2000,
16,180,26,84428,287,2001,
17,181,28,84412,292,2002,
18,173,28,84389,303,2003,
19,178,26,84391,305,2004,
20,183,25,84405,308,2005,
21,183,30,84381,314,2006,
22,187,24,84371,322,2007,
23,183,22,84382,330,2008,
24,180,22,84363,337,2009,
25,184,22,84340,344,2010,
26,189,23,84319,346,2011,
27,202,26,84328,342,2012,
28,196,29,84312,354,2013,
29,192,33,84233,363,2014,
30,188,34,84146,372,2015,
31,183,36,84061,379,2016,
32,178,40,83896,386,2017,
33,181,49,83005,383,2018,
